2024-01-02 09:28:13,066 list_server [INFO] Start Server 'start_server'
2024-01-02 09:28:53,640 list_server [INFO] Connect : ('127.0.0.1', 41632) 'handle_client'
2024-01-02 09:28:53,641 list_server [INFO] Close : ('127.0.0.1', 41632) 'handle_client'
2024-01-02 09:29:06,906 list_server [INFO] Connect : ('127.0.0.1', 55678) 'handle_client'
2024-01-02 09:29:06,907 list_server [INFO] Close : ('127.0.0.1', 55678) 'handle_client'
2024-01-02 09:29:31,285 list_server [INFO] Connect : ('127.0.0.1', 49444) 'handle_client'
2024-01-02 09:29:31,286 list_server [INFO] Close : ('127.0.0.1', 49444) 'handle_client'
2024-01-02 09:32:40,318 list_server [INFO] Connect : ('127.0.0.1', 52098) 'handle_client'
2024-01-02 09:32:40,319 list_server [INFO] Close : ('127.0.0.1', 52098) 'handle_client'
2024-01-02 10:06:01,330 list_server [INFO] Connect : ('127.0.0.1', 40072) 'handle_client'
2024-01-02 10:06:01,330 list_server [INFO] Close : ('127.0.0.1', 40072) 'handle_client'
2024-01-02 10:06:02,162 list_server [INFO] Connect : ('127.0.0.1', 40088) 'handle_client'
2024-01-02 10:06:02,163 list_server [INFO] Close : ('127.0.0.1', 40088) 'handle_client'
2024-01-02 10:06:02,655 list_server [INFO] Connect : ('127.0.0.1', 40098) 'handle_client'
2024-01-02 10:06:02,656 list_server [INFO] Close : ('127.0.0.1', 40098) 'handle_client'
2024-01-02 10:06:03,156 list_server [INFO] Connect : ('127.0.0.1', 40104) 'handle_client'
2024-01-02 10:06:03,157 list_server [INFO] Close : ('127.0.0.1', 40104) 'handle_client'
2024-01-02 10:08:32,466 list_server [INFO] Connect : ('127.0.0.1', 46030) 'handle_client'
2024-01-02 10:08:32,466 list_server [INFO] Close : ('127.0.0.1', 46030) 'handle_client'
2024-01-02 10:08:33,096 list_server [INFO] Connect : ('127.0.0.1', 46042) 'handle_client'
2024-01-02 10:08:33,097 list_server [INFO] Close : ('127.0.0.1', 46042) 'handle_client'
2024-01-02 10:08:43,951 list_server [INFO] Connect : ('127.0.0.1', 55062) 'handle_client'
